"time"	"peruse01"	"peruse02"	"peruse03"	"peruse04"	"peruse05"	"peruse06"	"pereou01"	"pereou02"	"pereou03"	"pereou04"	"pereou05"	"pereou06"	"intent01"	"intent02"	"intent03"	"operatingsys"	"gender"	"educ_level"	"race_white"	"race_black"	"race_hisp"	"race_asian"	"race_native"	"race_pacif"	"race_other"	"age"	"citizenship"	"state"	"military"	"militbranch"	"familystruct"	"children"	"income"	"employ"	"color"	"eatout"	"religion"
11	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	1	2	3	1	0	0	0	0	0	0	22	185	24	2	NA	5	NA	1	1	5	5	10
13	3	4	4	2	5	6	7	6	6	5	4	7	6	6	6	5	1	5	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	3	4	10
5	6	6	7	6	6	7	3	5	5	6	6	7	4	6	5	2	1	5	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	1	3	4	10
13	6	6	5	6	7	6	7	7	7	6	6	7	7	7	6	2	2	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	24	8	5	10
9	5	5	6	6	7	7	5	5	6	5	7	7	7	7	7	1	2	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	27	7	5	10
7	6	6	6	5	5	6	6	5	6	6	7	7	6	6	6	1	1	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	5	3	3	10
4	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	1	2	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	21	7	5	10
5	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	1	2	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	21	7	5	10
11	6	6	6	6	5	6	7	6	6	6	7	7	7	7	7	5	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	14	3	4	10
12	7	6	6	5	6	6	7	7	6	6	7	7	7	7	7	2	1	2	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	5	3	5	10
11	6	5	5	5	5	6	7	7	7	6	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	4	7	10
5	7	6	7	6	7	7	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	2	14	1	5	28
2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	2	14	1	3	10
12	7	6	7	6	7	7	6	6	5	5	6	6	7	7	7	1	1	3	1	0	0	0	0	0	0	23	185	24	2	NA	1	NA	2	14	4	6	10
6	5	4	5	4	4	4	6	6	6	5	6	6	1	1	1	5	2	6	1	0	0	0	0	0	0	23	185	3	2	NA	1	NA	5	14	7	7	10
13	7	6	7	6	4	4	7	6	6	6	7	6	7	7	7	1	1	3	1	0	0	0	0	0	0	23	185	3	2	NA	1	NA	1	24	1	7	10
25	7	7	7	7	7	7	7	7	6	6	6	7	7	7	7	1	1	3	1	0	0	0	0	0	0	23	185	22	2	NA	1	NA	1	24	7	4	10
19	6	5	4	6	4	5	7	7	7	6	7	7	3	3	4	4	1	3	1	0	0	0	0	0	0	23	185	3	2	NA	1	NA	1	1	3	4	10
4	5	3	3	4	2	3	6	5	5	4	3	5	2	2	1	5	1	5	1	0	0	0	0	0	0	24	21	NA	2	NA	1	NA	1	14	1	4	10
24	6	6	7	5	6	7	6	7	5	6	6	5	7	7	7	1	1	3	1	0	0	0	0	0	0	24	185	24	2	NA	1	NA	1	30	1	3	10
10	6	6	6	5	5	6	7	7	7	6	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	24	185	3	2	NA	5	NA	4	8	1	5	28
19	7	7	7	6	6	7	6	6	7	7	7	7	7	7	7	1	2	4	1	0	0	0	0	0	0	24	185	3	2	NA	1	NA	1	25	1	6	10
8	5	5	4	4	4	5	7	5	5	6	7	5	6	6	6	2	1	3	1	0	0	0	0	0	0	25	185	45	2	NA	1	NA	1	21	8	7	10
7	5	5	5	5	5	5	6	6	6	6	6	6	7	7	7	2	1	3	1	0	0	0	0	0	0	25	185	3	2	NA	1	NA	1	2	1	5	10
16	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	2	2	4	1	0	0	0	0	0	0	26	185	3	2	NA	4	2	1	24	4	4	10
15	6	6	6	6	6	6	6	6	6	6	6	6	4	5	5	5	1	5	1	0	0	0	0	0	0	26	185	3	2	NA	1	NA	8	11	1	5	10
10	7	7	7	7	7	7	7	7	6	6	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	26	185	3	2	NA	3	NA	3	7	1	5	10
9	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	1	1	5	1	0	0	0	0	0	0	26	185	41	2	NA	1	NA	1	8	1	3	10
16	4	4	4	4	4	5	6	6	6	6	6	6	4	6	4	5	1	4	1	0	0	0	0	0	0	27	185	3	2	NA	1	NA	1	14	1	5	10
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	2	1	0	0	0	0	0	0	27	185	3	2	NA	1	NA	2	8	3	6	10
14	4	5	5	5	5	5	7	7	7	7	7	7	6	6	6	1	1	3	1	0	0	0	0	0	0	28	185	3	1	3	3	NA	3	5	1	3	10
10	4	5	5	5	6	6	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	28	185	3	2	NA	1	NA	1	NA	4	6	1
10	6	4	4	5	5	5	7	6	6	6	6	7	7	7	7	1	2	5	1	0	0	0	0	0	0	31	185	3	2	NA	3	NA	6	8	7	3	10
10	6	6	6	6	6	7	6	6	6	6	6	6	7	7	7	1	2	6	1	0	0	0	0	0	0	33	185	3	2	NA	1	NA	3	14	4	5	10
10	6	6	6	5	4	5	7	7	7	6	6	7	7	7	7	1	1	3	1	0	0	0	0	0	0	35	185	3	2	NA	1	NA	3	24	4	7	10
11	7	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	2	3	1	0	0	0	0	0	0	41	185	3	1	3	5	NA	6	24	1	5	10
27	6	6	6	6	6	6	5	5	5	6	6	5	7	7	7	1	2	3	1	0	0	0	0	0	0	42	185	3	2	NA	4	NA	9	3	3	5	10
13	6	6	6	6	6	4	6	5	6	6	6	6	7	7	7	1	2	4	1	0	0	0	0	0	0	48	185	3	2	NA	4	NA	3	8	1	4	NA
49	5	4	4	4	5	4	5	4	5	4	4	5	5	5	5	2	2	5	0	0	0	0	0	0	1	19	185	3	2	NA	1	NA	1	24	7	4	10
12	6	5	5	6	5	5	6	6	6	6	7	7	5	7	5	2	1	3	0	0	0	0	0	0	1	23	185	3	2	NA	1	NA	1	23	1	6	7
17	7	6	6	7	7	6	6	6	6	7	7	6	6	6	6	1	1	5	0	0	0	0	0	0	1	29	177	NA	2	NA	1	NA	NA	14	4	6	19
21	6	6	7	6	5	6	5	6	6	6	6	6	7	7	7	1	1	6	0	0	0	0	0	0	1	43	61	NA	2	NA	1	NA	2	30	1	7	10
56	7	6	6	5	6	5	3	6	6	5	6	5	6	7	6	1	1	3	0	0	0	0	0	0	1	19	185	3	2	NA	1	NA	1	5	4	4	10
13	6	6	5	6	6	6	7	6	6	6	6	6	7	7	7	1	1	3	0	0	0	0	0	0	1	19	185	35	2	NA	1	NA	1	NA	9	4	10
12	7	6	7	6	7	7	7	6	7	6	6	6	7	7	7	2	2	3	0	0	0	0	0	0	1	20	185	3	2	NA	3	NA	1	25	1	5	10
16	5	5	5	5	5	5	6	5	5	5	5	5	6	6	6	1	2	4	0	0	0	0	0	0	1	23	185	3	2	NA	1	NA	1	1	7	5	10
6	5	5	5	5	4	4	5	5	5	4	4	5	5	6	5	2	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	5	5	5	5	4	5	5	5	5	5	5	5	5	6	5	2	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	6	7	6	7	7	7	7	7	6	6	7	7	4	6	5	4	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	5	5	6	6	6	6	5	5	5	6	6	6	6	6	4	2	2	3	0	0	0	0	0	0	0	20	185	41	2	NA	1	NA	1	14	6	5	10
24	6	4	5	4	5	5	7	6	5	5	5	6	7	6	6	1	2	5	0	0	0	0	0	0	0	23	36	NA	2	NA	1	NA	1	NA	4	5	NA
